Taxonomy.Order,Category,English.name,Scientific.Name,English.India,IUCN,WG,Genus.Name,Species.Name,Subspecies.Name,Feeding Guild,Raptors,Primary Hole-nesters,Woodland Understorey Birds,Parasitic Cuckoos
239,species,Fulvous Whistling-Duck,Dendrocygna bicolor,Fulvous Whistling-Duck,,,Dendrocygna,bicolor,,Aquatic-Ominvore,,,,
248,species,Lesser Whistling-Duck,Dendrocygna javanica,Lesser Whistling-Duck,,,Dendrocygna,javanica,,Aquatic-Ominvore,,,,
251,spuh,whistling-duck sp.,Dendrocygna sp.,whistling-duck sp.,,,Dendrocygna,sp.,,Aquatic-Ominvore,,,,
294,species,Tundra Bean-Goose,Anser serrirostris,Tundra Bean-Goose,,,Anser,serrirostris,,Aquatic-Ominvore,,,,
298,slash,Taiga/Tundra Bean-Goose,Anser fabalis/serrirostris,Taiga/Tundra Bean-Goose,,,Anser,fabalis/serrirostris,,Aquatic-Ominvore,,,,
276,species,Greater White-fronted Goose,Anser albifrons,Greater White-fronted Goose,,,Anser,albifrons,,Aquatic-Ominvore,,,,
288,species,Lesser White-fronted Goose,Anser erythropus,Lesser White-fronted Goose,Vulnerable,,Anser,erythropus,,Aquatic-Ominvore,,,,
289,slash,Greater/Lesser White-fronted Goose,Anser albifrons/erythropus,Greater/Lesser White-fronted Goose,,,Anser,albifrons/erythropus,,Aquatic-Ominvore,,,,
264,species,Graylag Goose,Anser anser,Graylag Goose,,,Anser,anser,,Aquatic-Ominvore,,,,
255,species,Bar-headed Goose,Anser indicus,Bar-headed Goose,,,Anser,indicus,,Aquatic-Ominvore,,,,
301,spuh,Anser sp.,Anser sp.,Anser goose sp.,,,Anser,sp.,,Aquatic-Ominvore,,,,
355,species,Red-breasted Goose,Branta ruficollis,Red-breasted Goose,Vulnerable,,Branta,ruficollis,,Aquatic-Ominvore,,,,
365,species,Mute Swan,Cygnus olor,Mute Swan,,,Cygnus,olor,,Aquatic-Ominvore,,,,
372,species,Tundra Swan,Cygnus columbianus,Tundra Swan,,,Cygnus,columbianus,,Aquatic-Ominvore,,,,
378,species,Whooper Swan,Cygnus cygnus,Whooper Swan,,,Cygnus,cygnus,,Aquatic-Ominvore,,,,
382,spuh,swan sp.,Cygnus sp.,swan sp.,,,Cygnus,sp.,,Aquatic-Ominvore,,,,
