Taxonomy.Order,Category,English.name,Scientific.Name,English.India,IUCN,WG,Genus.Name,Species.Name,Subspecies.Name,Feeding Guild,Raptors,Primary Hole-nesters,Woodland Understorey Birds,Parasitic Cuckoos
225,species,Fulvous Whistling-Duck,Dendrocygna bicolor,,,,Dendrocygna,bicolor,,Aquatic-Ominvore,,,,
230,species,Lesser Whistling-Duck,Dendrocygna javanica,Lesser Whistling-Duck,,,Dendrocygna,javanica,,Aquatic-Ominvore,,,,
231,spuh,whistling-duck sp.,Dendrocygna sp.,,,,Dendrocygna,sp.,,Aquatic-Ominvore,,,,
241,species,Tundra Bean-Goose,Anser serrirostris,Tundra Bean-Goose,,,Anser,serrirostris,,Aquatic-Ominvore,,,,
244,slash,Taiga/Tundra Bean-Goose,Anser fabalis/serrirostris,,,,Anser,fabalis/serrirostris,,Aquatic-Ominvore,,,,
246,species,Greater White-fronted Goose,Anser albifrons,Greater White-fronted Goose,,,Anser,albifrons,,Aquatic-Ominvore,,,,
253,species,Lesser White-fronted Goose,Anser erythropus,Lesser White-fronted Goose,Vulnerable,,Anser,erythropus,,Aquatic-Ominvore,,,,
254,slash,Greater/Lesser White-fronted Goose,Anser albifrons/erythropus,,,,Anser,albifrons/erythropus,,Aquatic-Ominvore,,,,
255,species,Graylag Goose,Anser anser,Greylag Goose,,,Anser,anser,,Aquatic-Ominvore,,,,
260,species,Bar-headed Goose,Anser indicus,Bar-headed Goose,,,Anser,indicus,,Aquatic-Ominvore,,,,
263,spuh,Anser sp.,Anser sp.,,,,Anser,sp.,,Aquatic-Ominvore,,,,
319,species,Red-breasted Goose,Branta ruficollis,Red-breasted Goose,Vulnerable,,Branta,ruficollis,,Aquatic-Ominvore,,,,
325,species,Mute Swan,Cygnus olor,Mute Swan,,,Cygnus,olor,,Aquatic-Ominvore,,,,
330,species,Tundra Swan,Cygnus columbianus,Tundra Swan,,,Cygnus,columbianus,,Aquatic-Ominvore,,,,
336,species,Whooper Swan,Cygnus cygnus,Whooper Swan,,,Cygnus,cygnus,,Aquatic-Ominvore,,,,
339,spuh,swan sp.,Cygnus sp.,,,,Cygnus,sp.,,Aquatic-Ominvore,,,,
341,species,Comb Duck,Sarkidiornis melanotos,Comb Duck (Knob-billed Duck),,,Sarkidiornis,melanotos,,Aquatic-Ominvore,,,,
359,species,Ruddy Shelduck,Tadorna ferruginea,Ruddy Shelduck (Brahminy Duck),,,Tadorna,ferruginea,,Aquatic-Ominvore,,,,
363,species,Common Shelduck,Tadorna tadorna,Common Shelduck,,,Tadorna,tadorna,,Aquatic-Ominvore,,,,
384,species,Cotton Pygmy-Goose,Nettapus coromandelianus,Cotton Pygmy-Goose (Cotton Teal),,,Nettapus,coromandelianus,,Aquatic-Ominvore,,,,
390,species,Mandarin Duck,Aix galericulata,Mandarin Duck,,,Aix,galericulata,,Aquatic-Ominvore,,,,
408,species,Gadwall,Mareca strepera,Gadwall,,,Mareca,strepera,,Aquatic-Ominvore,,,,
411,species,Falcated Duck,Mareca falcata,Falcated Duck,Near-threatened,,Mareca,falcata,,Aquatic-Ominvore,,,,
412,species,Eurasian Wigeon,Mareca penelope,Eurasian Wigeon,,,Mareca,penelope,,Aquatic-Ominvore,,,,
424,species,Mallard,Anas platyrhynchos,Mallard,,,Anas,platyrhynchos,,Aquatic-Ominvore,,,,
448,species,Indian Spot-billed Duck,Anas poecilorhyncha,Indian Spot-billed Duck,,,Anas,poecilorhyncha,,Aquatic-Ominvore,,,,
452,species,Eastern Spot-billed Duck,Anas zonorhyncha,Eastern Spot-billed Duck,,,Anas,zonorhyncha,,Aquatic-Ominvore,,,,
454,slash,Indian/Eastern Spot-billed Duck,Anas poecilorhyncha/zonorhyncha,,,,Anas,poecilorhyncha/zonorhyncha,,Aquatic-Ominvore,,,,
473,species,Northern Shoveler,Spatula clypeata,Northern Shoveler,,,Spatula,clypeata,,Aquatic-Ominvore,,,,
486,species,Northern Pintail,Anas acuta,Northern Pintail,,,Anas,acuta,,Aquatic-Ominvore,,,,
505,species,Garganey,Spatula querquedula,Garganey,,,Spatula,querquedula,,Aquatic-Ominvore,,,,
